id,skills,titles,major
/in/adeolaawowale/,"['Matlab', 'Research', 'Microsoft Office', 'Microsoft Excel', 'Statistics', 'Data Analysis', 'PCR', 'Public Speaking', 'Microsoft Word', 'PowerPoint', 'Science', 'Cell Culture', 'Customer Service', 'Qualitative Research', 'Molecular Biology', 'Biotechnology', 'Bioinformatics', 'Life Sciences', 'Cell Biology', 'Western Blotting', 'Research', 'Statistics', 'Data Analysis', 'PCR', 'Science', 'Cell Culture', 'Customer Service', 'Qualitative Research', 'Molecular Biology', 'Biotechnology', 'Bioinformatics', 'Life Sciences', 'Cell Biology', 'Western Blotting', 'Polymerase Chain Reaction (PCR)', 'Matlab', 'Microsoft Office', 'Microsoft Excel', 'Microsoft Word', 'PowerPoint', 'Public Speaking', 'Leadership']","['Technical Program Manager', 'System Engineer', 'Software Tester Intern', ""Teacher's Assistant"", 'Manufacturing Engineer Intern', 'Researcher at the Human Performance Lab', 'Undergraduate Marketing Assistant', 'Statistical Genomics and Informatics']","['Master of Science (M.Sc.), Systems Engineering, Operations Research and Process Systems', 'Bachelor of Science (B.S.), Bioengineering and Biomedical Engineering']"
/in/zayd-choudhury/,"['Object-Oriented Programming (OOP)', 'C (Programming Language)', 'Java', 'Computer Science', 'Ruby', 'Object-Oriented Programming (OOP)', 'Computer Science', 'C (Programming Language)', 'Java', 'Ruby']","['Information Technology Technician', 'Assistant Team Manager', 'Canvasser', 'Crew Member']","['Bachelor of Science - BS, Computer Science', 'High School Diploma']"
/in/hlee124/,14,"['Clark School Ambassador', 'Classroom Support Technician', 'Undergraduate Researcher', 'Undergraduate Research Fellow', 'Science Engineering Apprenticeship Program (SEAP) Intern']","['Bioengineering', 'High School Diploma, Science and Mathematics Academy']"
/in/joy-j-wang/,"['Object-Oriented Programming (OOP)', 'Python (Programming Language)', 'Communication', 'Object-Oriented Programming (OOP)', 'Python (Programming Language)', 'Communication']","['Technica', 'Technica', 'Technica', 'Technica', 'Technica']","[""Bachelor's degree, Computer Science and Mathematics""]"
/in/neha-wadhwani-360949143/,"['Tableau', 'SQL', 'Amazon Web Services (AWS)', 'Data Visualization', 'SharePoint', 'Office 365', 'Microsoft Teams', 'Powershell', 'Microsoft PowerApps', 'Microsoft Flow', 'Microsoft 365', 'SharePoint Administration', 'DocAve', 'SharePoint Server', 'Data Visualization', 'SharePoint Administration', 'DocAve', 'SharePoint Server', 'Tableau', 'SQL', 'Amazon Web Services (AWS)', 'SharePoint', 'Office 365', 'Microsoft Teams', 'Powershell', 'Microsoft PowerApps', 'Microsoft Flow', 'Microsoft 365']","['Tata Consultancy Services', 'Tata Consultancy Services']","['Masters in Information Management ', 'Bachelor of Engineering - BE, Computer Science']"
/in/chernor/,17,"['Associate Software Engineer', 'Classroom Support Technician', 'Software Engineering Intern']","[""Bachelor's degree, Computer Science"", ""Associate's degree, Information Technology""]"
/in/nekesiha-hall/,"['Customer Service', 'Leadership', 'Customer Service', 'Leadership']","['Community Health Worker-Case Manager', 'Cashier Customer Service/Server', 'Community Health Woker (remote)', 'Assistant Manager', 'Community Health Intern']","['Master of Science - MS, Health/Health Care Administration/Management', 'Bachelor of Applied Science - BASc, Behavioral and Community Health', 'Bachelor of Applied Science - BASc, Pre-Pharmacy Studies']"
/in/akash-deep-umd/,"['C', 'Cybersecurity', 'Information Security', 'Databases', 'Cisco Certified', 'PHP', 'Firewalls', 'Cisco Routers', 'Linux', 'Virtual Private Network (VPN)', 'Network Engineering', 'Cisco Systems Products', 'Cybersecurity', 'Information Security', 'Cisco Certified', 'Firewalls', 'Virtual Private Network (VPN)', 'Network Engineering', 'C', 'Databases', 'PHP', 'Cisco Routers', 'Linux', 'Cisco Systems Products']","['Security Engineer II', 'Security Engineer']","['Masters of Engineering, Cybersecurity', 'Master of Technology - MTech, Computer Science & Engineering(Spl in Information Security)', 'Bachelor of Engineering - BE, Information Science and Engineering']"
/in/chrissycui/,"['Algorithms', 'Distributed Systems', 'C++', 'Python', 'Java', 'Linux', 'C', 'Object Oriented Design', 'Multithreading', 'Machine Learning', 'High Performance Computing', 'Data Structures', 'Design Patterns', 'REST', 'STL', 'Visual C++', 'Android App Development', 'Java software development', 'Code Composer Studio', 'CUDA', 'Algorithms', 'Distributed Systems', 'Object Oriented Design', 'Multithreading', 'Machine Learning', 'High Performance Computing', 'Data Structures', 'Design Patterns', 'STL', 'Android App Development', 'Java software development', 'Code Composer Studio', 'CUDA', 'Parallel Computing', 'Application Development', 'Parallel Programming', 'GPGPU', 'Continuous Delivery', 'IBM Rational Purify', 'Valgrind', 'C++', 'Python', 'Java', 'Linux', 'C', 'REST', 'Visual C++', 'Android', 'Objective-C']","['Engineering Manager', 'Engineering Manager', 'Senior Software Engineer / Architect']","[""Master's Degree, Computer Engineering""]"
/in/theodore-gladkov-5bb851232/,21,"['Laboratory Technician', 'Engineering Intern Student']","['Bachelor of Science - BS, Fire Protection Engineering']"
